Name,Unique_External_Key__c,Unit_Number__c,Property__r.Unique_External_Key__c,Project__r.Unique_External_Key__c,Unit_Type__c,Typology__c,Bedrooms__c,Bathrooms__c,Area_sqft__c,Sale_Price__c,Sale_Status__c,Available_from__c,Parking_included__c,Furnished__c,Floor_Plan__r.Unique_External_Key__c,View_Type__c,Facing__c,Is_Sample_Unit__c,Unit_Description__c,Unit_Image__c,Meters__c,GFA__c,Plot_No__c,Plot_Area__c,Plot_Type__c,Unique_Unit_Code__c,ERP_Unit_Id__c,Retained_Id__c,Active__c
SH-A-101,SKYLINE_HEIGHTS_DXB_RES_A_A1,A1,SKYLINE_HEIGHTS_DXB_RES_A,SKYLINE_HEIGHTS_DXB,Apartment,1 BHK,1,1,750,1250000,Available,2026-06-01,true,Furnished,FP-SKY-A-1,Marina View,North,false,Cozy 1 BHK with Marina views.,https://images.example.com/dubai/units/skyline-a1.jpg,69.68,750,PL-001,750,Residential,UNIT-SKY-A-001,UNIT-ERP-001,UNIT-RET-001,true
SH-A-102,SKYLINE_HEIGHTS_DXB_RES_A_A2,A2,SKYLINE_HEIGHTS_DXB_RES_A,SKYLINE_HEIGHTS_DXB,Apartment,2 BHK,2,2,1250,1950000,Sold,2026-01-01,true,Furnished,FP-SKY-A-2,Sea View,West,false,Spacious 2 BHK with balcony and sea-facing views.,https://images.example.com/dubai/units/skyline-a2.jpg,116.13,1250,PL-002,1250,Residential,UNIT-SKY-A-002,UNIT-ERP-002,UNIT-RET-002,true
SH-A-103,SKYLINE_HEIGHTS_DXB_RES_A_A3,A3,SKYLINE_HEIGHTS_DXB_RES_A,SKYLINE_HEIGHTS_DXB,Apartment,1 BED Executive,1,1,820,1320000,Available,2026-07-01,true,Unfurnished,FP-SKY-A-3,Canal View,East,false,Executive 1 BHK with enlarged living space.,https://images.example.com/dubai/units/skyline-a3.jpg,76.12,820,PL-007,820,Residential,UNIT-SKY-A-003,UNIT-ERP-007,UNIT-RET-007,true
SH-A-104,SKYLINE_HEIGHTS_DXB_RES_A_A4,A4,SKYLINE_HEIGHTS_DXB_RES_A,SKYLINE_HEIGHTS_DXB,Apartment,1 BED Deluxe,1,1,900,1400000,Available,2026-08-01,true,Part Furnished,FP-SKY-A-4,Balcony View,South,false,Deluxe 1 BHK with premium finishes.,https://images.example.com/dubai/units/skyline-a4.jpg,83.61,900,PL-008,900,Residential,UNIT-SKY-A-004,UNIT-ERP-008,UNIT-RET-008,true
SH-B-201,SKYLINE_HEIGHTS_DXB_RES_B_B1,B1,SKYLINE_HEIGHTS_DXB_RES_B,SKYLINE_HEIGHTS_DXB,Apartment,1 BED + Office,1,1,780,860000,Available,2026-09-01,true,Unfurnished,FP-SKY-B-1,City View,East,false,1 BHK with flexible office nook.,https://images.example.com/dubai/units/skyline-b1.jpg,72.46,780,PL-003,780,Residential,UNIT-SKY-B-001,UNIT-ERP-003,UNIT-RET-003,true
SH-B-202,SKYLINE_HEIGHTS_DXB_RES_B_B2,B2,SKYLINE_HEIGHTS_DXB_RES_B,SKYLINE_HEIGHTS_DXB,Apartment,1 BED + Pool,1,1,820,910000,Sold,2026-02-01,true,Furnished,FP-SKY-B-2,Pool View,West,false,1 BHK with access to shared pool.,https://images.example.com/dubai/units/skyline-b2.jpg,76.12,820,PL-004,820,Residential,UNIT-SKY-B-002,UNIT-ERP-004,UNIT-RET-004,true
SH-B-203,SKYLINE_HEIGHTS_DXB_RES_B_B3,B3,SKYLINE_HEIGHTS_DXB_RES_B,SKYLINE_HEIGHTS_DXB,Apartment,2 BED + O,2,2,1150,930000,Available,2026-03-15,true,Unfurnished,FP-SKY-B-3,City View,North,false,2 BHK with study/office option.,https://images.example.com/dubai/units/skyline-b3.jpg,106.84,1150,PL-005,1150,Residential,UNIT-SKY-B-003,UNIT-ERP-005,UNIT-RET-005,true
SH-B-204,SKYLINE_HEIGHTS_DXB_RES_B_B4,B4,SKYLINE_HEIGHTS_DXB_RES_B,SKYLINE_HEIGHTS_DXB,Apartment,1 BED Deluxe,1,1,945,945000,Available,2026-04-01,true,Furnished,FP-SKY-B-4,Lagoon View,South,false,Designer 1 BHK with high-end finishes.,https://images.example.com/dubai/units/skyline-b4.jpg,87.83,945,PL-006,945,Residential,UNIT-SKY-B-004,UNIT-ERP-006,UNIT-RET-006,true
DL-A-101,DAMAC_LAGOONS_DXB_RES_A_A1,A1,DAMAC_LAGOONS_DXB_RES_A,DAMAC_LAGOONS_DXB,Villa,2 BED,2,2,1025,10250000,Available,2025-12-01,true,Furnished,FP-DAM-A-1,Lagoon View,South,false,2 BHK villa with courtyard and lagoon access.,https://images.example.com/dubai/units/damaca-a1.jpg,95.18,1025,PL-009,1025,Residential,UNIT-DAM-A-001,UNIT-ERP-009,UNIT-RET-009,true
DL-A-102,DAMAC_LAGOONS_DXB_RES_A_A2,A2,DAMAC_LAGOONS_DXB_RES_A,DAMAC_LAGOONS_DXB,Villa,4 BHK + Maid,4,5,4200,4500000,Available,2025-12-01,true,Furnished,FP-DAM-A-2,Lagoon Front,South,false,Spacious 4 BHK villa with private lagoon access.,https://images.example.com/dubai/units/damaca-a2.jpg,390.19,4200,PL-010,4200,Residential,UNIT-DAM-A-002,UNIT-ERP-010,UNIT-RET-010,true
DL-A-103,DAMAC_LAGOONS_DXB_RES_A_A3,A3,DAMAC_LAGOONS_DXB_RES_A,DAMAC_LAGOONS_DXB,Villa,1 BED + Multi,1,1,850,9950000,Sold,2025-10-01,true,Unfurnished,FP-DAM-A-3,Garden View,East,false,Compact 1 BHK villa with multi-use room.,https://images.example.com/dubai/units/damaca-a3.jpg,78.97,850,PL-011,850,Residential,UNIT-DAM-A-003,UNIT-ERP-011,UNIT-RET-011,true
DL-A-104,DAMAC_LAGOONS_DXB_RES_A_A4,A4,DAMAC_LAGOONS_DXB_RES_A,DAMAC_LAGOONS_DXB,Villa,2 BED+O+Pool,2,2,1100,11000000,Available,2025-11-01,true,Part Furnished,FP-DAM-A-4,Canal View,NorthWest,false,2 BHK villa with optional pool upgrade.,https://images.example.com/dubai/units/damaca-a4.jpg,102.19,1100,PL-012,1100,Residential,UNIT-DAM-A-004,UNIT-ERP-012,UNIT-RET-012,true
DL-B-201,DAMAC_LAGOONS_DXB_RES_B_B1,B1,DAMAC_LAGOONS_DXB_RES_B,DAMAC_LAGOONS_DXB,Townhouse,1 BED Type A,1,1,980,9800000,Available,2026-02-01,true,Unfurnished,FP-DAM-B-1,Garden View,SouthEast,false,1 BHK townhouse type A with private garden.,https://images.example.com/dubai/units/damac-b1.jpg,91.04,980,PL-013,980,Residential,UNIT-DAM-B-001,UNIT-ERP-013,UNIT-RET-013,true
DL-B-202,DAMAC_LAGOONS_DXB_RES_B_B2,B2,DAMAC_LAGOONS_DXB_RES_B,DAMAC_LAGOONS_DXB,Townhouse,1 BED Type B,1,1,990,9900000,Available,2026-03-01,true,Part Furnished,FP-DAM-B-2,Canal View,NorthWest,false,1 BHK townhouse type B with canal access.,https://images.example.com/dubai/units/damac-b2.jpg,91.95,990,PL-014,990,Residential,UNIT-DAM-B-002,UNIT-ERP-014,UNIT-RET-014,true
DL-B-203,DAMAC_LAGOONS_DXB_RES_B_B3,B3,DAMAC_LAGOONS_DXB_RES_B,DAMAC_LAGOONS_DXB,Townhouse,1 Bedroom + Study,1,1,1015,10150000,Sold,2026-01-15,true,Furnished,FP-DAM-B-3,Lagoon View,East,false,1 BR + study townhouse perfect for remote work.,https://images.example.com/dubai/units/damac-b3.jpg,94.35,1015,PL-015,1015,Residential,UNIT-DAM-B-003,UNIT-ERP-015,UNIT-RET-015,true
